text,label
"Baker PLC INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 1049
Billed To: Scott Wallace (Estrada, Kennedy and Johnson)
DESCRIPTION QTY UNIT PRICE TOTAL
Website Mockup            25    $806729.00   $20168225.00
Social Media Banners      57    $227731.00   $12980667.00
Brand Guidelines PDF      56    $609253.00   $34118168.00
Business Card Design      39    $310898.00   $12125022.00
Subtotal: $79392082.00
Tax (5%): $3969604.10
TOTAL: $83361686.10
Payment Info:
Bank Account: KROB81877084606594
Email: klowe@wiley.com
Phone: 254.559.5729
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. BROWN
2. BRYAN
3. 30.04.1980 ENGLAND
4. 21-1889 3 Wheeler Only DVLA
5. BROWN ENG 55
6. Bryan
7. 8057 Rodgers Oval Apt. 035, Acevedomouth, GU 49755
8. 3 WHEELER ONLY",drivers_licence
"NEW MEXICO DRIVER LICENSE
Name: Austin Norris
DOB: 07/11/1978
License #: Me289772
Class: 3 Wheeler Only
Issued by: Motor Vehicle Division (MVD)
Address: 54718 Stephen Passage Apt. 612, Craigbury, CO 29761",drivers_licence
"Bank Mendoza-Smith
Customer Support: (229)761-6162x5456
https://payne.biz/
Account Holder: Ryan Hoffman
Account Number: XXXX-XXXX-XXXX-9751
Statement Period: 1984-4

Date       Description              Debit ($)   Credit ($)
09/04/1984  Check Deposit                        419.05
12/04/1984  Loan Repayment           681.53      
04/04/1984  ACH Payment              422.33      
07/04/1984  Online Transfer          240.92      
14/04/1984  Debit Card Purchase      324.50      
17/04/1984  Debit Card Purchase      133.76      
10/04/1984  Loan Repayment           297.05      
04/04/1984  Online Transfer          596.56      
03/04/1984  POS Purchase             400.80      
12/04/1984  Direct Deposit                       334.06
07/04/1984  Direct Deposit                       226.33
21/04/1984  Loan Repayment           675.56      
11/04/1984  Check Deposit                        434.16
09/04/1984  Check Deposit                        422.14
10/04/1984  Online Transfer          29.40       
21/04/1984  Check Deposit                        478.52
07/04/1984  ACH Payment              565.70      
18/04/1984  Loan Repayment           621.05      
21/04/1984  POS Purchase             142.89      
05/04/1984  Check Deposit                        529.03",bank_statement
"Griffin-Kaufman INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 3933
Billed To: Joshua Kim (Fox-Espinoza)
DESCRIPTION QTY UNIT PRICE TOTAL
Logo Design               19    $431458.00   $8197702.00
Website Mockup            30    $314100.00   $9423000.00
Subtotal: $17620702.00
Tax (5%): $881035.10
TOTAL: $18501737.10
Payment Info:
Bank Account: VNZJ35689238356235
Email: wagnerseth@sheppard.org
Phone: (654)380-8539x3906
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. SUMMERS
2. NICOLE
3. 23.03.1937 ENGLAND
4. 52-7541 3 Wheeler Only DVLA
5. SUMMERS ENG 44
6. Nicole
7. 7571 Teresa Ridges Suite 143, Haleview, AK 74848
8. 3 WHEELER ONLY",drivers_licence
"SOUTH DAKOTA DRIVER LICENSE
Name: Daniel Morgan
DOB: 04/28/1968
License #: sJ785255
Class: Motorcycle
Issued by: Driver Licensing Program – Department of Public Safety
Address: 4412 Jamie Village Suite 321, Lindseyhaven, VI 44906",drivers_licence
"Bank Williams, Taylor and King
Customer Support: (491)960-0065
http://www.shelton.com/
Account Holder: Michael Graham
Account Number: XXXX-XXXX-XXXX-5994
Statement Period: 2001-4

Date       Description              Debit ($)   Credit ($)
16/04/2001  Debit Card Purchase      493.76      
23/04/2001  Check Deposit                        242.77
22/04/2001  Debit Card Purchase      55.97       
14/04/2001  Debit Card Purchase      186.93      
20/04/2001  Online Transfer          177.52      
02/04/2001  Loan Repayment           467.94      
02/04/2001  Online Transfer          54.61       
20/04/2001  Loan Repayment           255.39      
22/04/2001  Debit Card Purchase      185.46      
15/04/2001  Online Transfer          37.78       
24/04/2001  Check Deposit                        563.06
02/04/2001  POS Purchase             327.54      
20/04/2001  Online Transfer          203.51      
03/04/2001  ACH Payment              655.23      
05/04/2001  Debit Card Purchase      303.17      
17/04/2001  Check Deposit                        480.97
12/04/2001  Check Deposit                        297.59
03/04/2001  POS Purchase             635.84      
16/04/2001  POS Purchase             540.11      
10/04/2001  Debit Card Purchase      690.84      ",bank_statement
"Riley, West and Morton INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 8214
Billed To: Julian Jackson (Miller LLC)
DESCRIPTION QTY UNIT PRICE TOTAL
Social Media Banners      26    $549499.00   $14286974.00
Brand Guidelines PDF      65    $88598.00    $5758870.00
Subtotal: $20045844.00
Tax (5%): $1002292.20
TOTAL: $21048136.20
Payment Info:
Bank Account: HPUH29581593431955
Email: vcraig@nguyen-simpson.com
Phone: 6634703939
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. THOMPSON
2. CHERYL
3. 21.09.2021 ENGLAND
4. 28-9449 3 Wheeler Only DVLA
5. THOMPSON ENG 92
6. Cheryl
7. 54659 Cameron Fords Suite 943, North Briannashire, VA 82092
8. 3 WHEELER ONLY",drivers_licence
"IOWA DRIVER LICENSE
Name: Joshua Meyer
DOB: 12/31/2021
License #: vg157896
Class: Motorcycle
Issued by: Department of Transportation (DOT)
Address: USCGC Carroll, FPO AE 20544",drivers_licence
"Bank Franklin and Sons
Customer Support: 001-621-324-9629x710
http://reynolds.com/
Account Holder: Joseph Castillo
Account Number: XXXX-XXXX-XXXX-8891
Statement Period: 2016-10

Date       Description              Debit ($)   Credit ($)
26/10/2016  Direct Deposit                       671.51
23/10/2016  Direct Deposit                       487.65
09/10/2016  ACH Payment              300.14      
15/10/2016  Debit Card Purchase      473.82      
17/10/2016  Debit Card Purchase      323.64      
15/10/2016  Direct Deposit                       482.73
28/10/2016  Debit Card Purchase      227.74      
28/10/2016  POS Purchase             76.46       
05/10/2016  Online Transfer          343.42      
10/10/2016  Check Deposit                        554.76
26/10/2016  POS Purchase             43.10       
18/10/2016  Online Transfer          68.45       
09/10/2016  Loan Repayment           401.40      
02/10/2016  POS Purchase             459.39      
11/10/2016  Loan Repayment           621.83      
26/10/2016  Loan Repayment           489.01      
22/10/2016  Check Deposit                        369.43
23/10/2016  Online Transfer          243.62      
25/10/2016  Debit Card Purchase      234.80      
25/10/2016  Direct Deposit                       502.06",bank_statement
"Gordon-Pierce INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 5703
Billed To: Franklin Cooley (Campos-Newman)
DESCRIPTION QTY UNIT PRICE TOTAL
Brand Guidelines PDF      78    $959056.00   $74806368.00
Logo Design               3     $281257.00   $843771.00
Social Media Banners      66    $966281.00   $63774546.00
Subtotal: $139424685.00
Tax (5%): $6971234.25
TOTAL: $146395919.25
Payment Info:
Bank Account: WOSB11059263122322
Email: holly00@stewart.com
Phone: 975.666.8702
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. GREER
2. MELISSA
3. 05.02.1967 ENGLAND
4. 89-7694 Car DVLA
5. GREER ENG 16
6. Melissa
7. 19777 Johnson Brook, Lake Barryton, VT 54544
8. CAR",drivers_licence
"SOUTH DAKOTA DRIVER LICENSE
Name: George Daniels
DOB: 06/21/1967
License #: Xk598706
Class: Motorcycle
Issued by: Driver Licensing Program – Department of Public Safety
Address: 183 Hector Crossing Suite 148, Casefurt, RI 24355",drivers_licence
"Bank Christensen and Sons
Customer Support: +1-615-991-6758x036
https://www.baker-bennett.com/
Account Holder: Shannon Greer
Account Number: XXXX-XXXX-XXXX-9741
Statement Period: 1949-10

Date       Description              Debit ($)   Credit ($)
05/10/1949  ACH Payment              491.61      
23/10/1949  ACH Payment              176.09      
11/10/1949  Check Deposit                        258.85
03/10/1949  Check Deposit                        383.00
03/10/1949  Online Transfer          341.50      
17/10/1949  POS Purchase             27.93       
05/10/1949  Online Transfer          210.86      
24/10/1949  Online Transfer          260.65      
14/10/1949  Online Transfer          99.38       
11/10/1949  POS Purchase             663.95      
20/10/1949  Check Deposit                        513.99
01/10/1949  Direct Deposit                       29.15
26/10/1949  Direct Deposit                       257.59
03/10/1949  POS Purchase             306.80      
16/10/1949  Loan Repayment           636.53      
09/10/1949  Check Deposit                        324.68
15/10/1949  Direct Deposit                       692.92
22/10/1949  ACH Payment              524.34      
07/10/1949  Loan Repayment           68.31       
21/10/1949  Online Transfer          234.73      ",bank_statement
"Davidson, Mathews and Carroll INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 4541
Billed To: Nicole Nolan (Frey LLC)
DESCRIPTION QTY UNIT PRICE TOTAL
Logo Design               69    $499534.00   $34467846.00
Business Card Design      52    $189738.00   $9866376.00
Subtotal: $44334222.00
Tax (5%): $2216711.10
TOTAL: $46550933.10
Payment Info:
Bank Account: BECY23263253802976
Email: rodriguezmichael@gould.com
Phone: 001-695-226-4524x8176
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. MANN
2. ALEX
3. 09.02.1994 ENGLAND
4. 34-2040 3 Wheeler Only DVLA
5. MANN ENG 66
6. Alex
7. 0686 Keller Streets, Port Kevin, FL 17772
8. 3 WHEELER ONLY",drivers_licence
"OKLAHOMA DRIVER LICENSE
Name: Catherine Clark
DOB: 11/16/1944
License #: rM038957
Class: Car
Issued by: Department of Public Safety (DPS)
Address: 1609 Yvonne Center Suite 723, New Juliefort, MA 14359",drivers_licence
"Bank Rivera-Poole
Customer Support: 306.302.3722
http://www.valencia.biz/
Account Holder: Kevin Wilson
Account Number: XXXX-XXXX-XXXX-2008
Statement Period: 1908-8

Date       Description              Debit ($)   Credit ($)
22/08/1908  Check Deposit                        13.52
15/08/1908  Check Deposit                        368.80
25/08/1908  Direct Deposit                       589.62
01/08/1908  Online Transfer          488.43      
27/08/1908  ACH Payment              154.13      
25/08/1908  POS Purchase             41.18       
24/08/1908  Loan Repayment           273.93      
15/08/1908  Online Transfer          335.44      
10/08/1908  Loan Repayment           513.60      
14/08/1908  Debit Card Purchase      349.61      
10/08/1908  Loan Repayment           278.47      
27/08/1908  Direct Deposit                       168.18
01/08/1908  Loan Repayment           152.53      
12/08/1908  Online Transfer          57.76       
18/08/1908  Online Transfer          373.59      
16/08/1908  Direct Deposit                       521.91
16/08/1908  Check Deposit                        255.54
27/08/1908  Direct Deposit                       367.55
14/08/1908  ACH Payment              19.97       
15/08/1908  ACH Payment              17.09       ",bank_statement
"Arnold and Sons INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 8947
Billed To: Thomas Herrera (Compton PLC)
DESCRIPTION QTY UNIT PRICE TOTAL
Business Card Design      80    $427325.00   $34186000.00
Brand Guidelines PDF      97    $700078.00   $67907566.00
Subtotal: $102093566.00
Tax (5%): $5104678.30
TOTAL: $107198244.30
Payment Info:
Bank Account: PWTT83146144602872
Email: joseph58@paul-bradshaw.com
Phone: 548-497-7767x021
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. WILSON
2. ALEXIS
3. 18.10.1959 ENGLAND
4. 81-6788 Commercial Vehicle DVLA
5. WILSON ENG 28
6. Alexis
7. 4077 Adams Mall, Danielfurt, AK 10760
8. COMMERCIAL VEHICLE",drivers_licence
"SOUTH CAROLINA DRIVER LICENSE
Name: Shane Fisher
DOB: 07/27/1963
License #: mn409257
Class: 3 Wheeler Only
Issued by: Department of Motor Vehicles (SCDMV)
Address: 121 Christopher Cove, South Christinafort, MS 04116",drivers_licence
"Bank Morris-Anderson
Customer Support: 380-848-1826x0595
http://gray-golden.info/
Account Holder: Thomas Morrison
Account Number: XXXX-XXXX-XXXX-1824
Statement Period: 1942-10

Date       Description              Debit ($)   Credit ($)
24/10/1942  Direct Deposit                       582.11
01/10/1942  Loan Repayment           287.06      
26/10/1942  Online Transfer          334.96      
21/10/1942  POS Purchase             131.06      
23/10/1942  Debit Card Purchase      175.10      
11/10/1942  POS Purchase             102.10      
15/10/1942  Debit Card Purchase      671.13      
14/10/1942  Check Deposit                        574.93
20/10/1942  Check Deposit                        516.30
20/10/1942  Check Deposit                        569.45
20/10/1942  Direct Deposit                       187.47
03/10/1942  ACH Payment              213.09      
07/10/1942  Online Transfer          530.67      
07/10/1942  POS Purchase             146.99      
17/10/1942  Online Transfer          130.29      
25/10/1942  POS Purchase             54.93       
23/10/1942  Loan Repayment           515.23      
22/10/1942  Loan Repayment           495.62      
21/10/1942  Direct Deposit                       435.65
25/10/1942  Loan Repayment           103.19      ",bank_statement
"Perkins Group INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 5274
Billed To: Tracy Pugh (Martinez LLC)
DESCRIPTION QTY UNIT PRICE TOTAL
Business Card Design      53    $985504.00   $52231712.00
Social Media Banners      77    $878784.00   $67666368.00
Brand Guidelines PDF      96    $698699.00   $67075104.00
Website Mockup            87    $961668.00   $83665116.00
Subtotal: $270638300.00
Tax (5%): $13531915.00
TOTAL: $284170215.00
Payment Info:
Bank Account: TVBQ43999344638636
Email: scottfields@vasquez.com
Phone: 4128214371
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. MENDEZ
2. ALEXANDRIA
3. 01.09.1922 ENGLAND
4. 89-8048 Car DVLA
5. MENDEZ ENG 8
6. Alexandria
7. 580 Khan Cove Suite 632, North Christopher, CT 88704
8. CAR",drivers_licence
"CALIFORNIA DRIVER LICENSE
Name: Ruth Ford
DOB: 07/20/2014
License #: Ln662507
Class: Commercial Vehicle
Issued by: Department of Motor Vehicles (DMV)
Address: 84296 Lance Extensions, East Ronaldchester, OK 88145",drivers_licence
"Bank Stewart, Rivera and Villanueva
Customer Support: +1-932-234-3215x827
http://www.sullivan.com/
Account Holder: Julia Gross
Account Number: XXXX-XXXX-XXXX-6993
Statement Period: 1938-8

Date       Description              Debit ($)   Credit ($)
06/08/1938  POS Purchase             630.29      
24/08/1938  Debit Card Purchase      280.94      
23/08/1938  Online Transfer          509.19      
17/08/1938  POS Purchase             451.08      
11/08/1938  Loan Repayment           426.49      
04/08/1938  Check Deposit                        221.40
19/08/1938  ACH Payment              137.98      
13/08/1938  Direct Deposit                       335.13
15/08/1938  ACH Payment              307.24      
28/08/1938  POS Purchase             307.21      
10/08/1938  Loan Repayment           28.63       
02/08/1938  Online Transfer          559.90      
25/08/1938  Online Transfer          48.95       
02/08/1938  Check Deposit                        626.65
08/08/1938  Debit Card Purchase      428.98      
03/08/1938  ACH Payment              629.67      
12/08/1938  POS Purchase             218.28      
07/08/1938  Direct Deposit                       120.07
03/08/1938  POS Purchase             611.88      
23/08/1938  Direct Deposit                       470.07",bank_statement
"Morrison and Sons INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 2371
Billed To: Amber Richardson (Reeves LLC)
DESCRIPTION QTY UNIT PRICE TOTAL
Logo Design               65    $658865.00   $42826225.00
Business Card Design      41    $627830.00   $25741030.00
Brand Guidelines PDF      16    $178882.00   $2862112.00
Subtotal: $71429367.00
Tax (5%): $3571468.35
TOTAL: $75000835.35
Payment Info:
Bank Account: LYTT16806120649815
Email: melissa00@duran.com
Phone: 690.784.2735x11463
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. MARTIN
2. MARK
3. 03.07.1951 ENGLAND
4. 21-6830 3 Wheeler Only DVLA
5. MARTIN ENG 90
6. Mark
7. 4812 Carrie Green Suite 879, Waltershire, RI 60962
8. 3 WHEELER ONLY",drivers_licence
"NEBRASKA DRIVER LICENSE
Name: Angela Harper
DOB: 09/21/1915
License #: KI269029
Class: Commercial Vehicle
Issued by: Department of Motor Vehicles (DMV)
Address: 469 Jordan Shoal Apt. 944, Mccormickside, FM 77669",drivers_licence
"Bank Rodriguez, Padilla and Ramsey
Customer Support: (413)927-1762x3780
http://long.com/
Account Holder: William Torres
Account Number: XXXX-XXXX-XXXX-8321
Statement Period: 1953-11

Date       Description              Debit ($)   Credit ($)
22/11/1953  Online Transfer          535.63      
03/11/1953  ACH Payment              417.48      
05/11/1953  Loan Repayment           695.75      
22/11/1953  Debit Card Purchase      326.38      
26/11/1953  POS Purchase             62.32       
08/11/1953  Online Transfer          540.61      
16/11/1953  Direct Deposit                       631.78
21/11/1953  Loan Repayment           624.92      
05/11/1953  POS Purchase             78.91       
04/11/1953  ACH Payment              142.10      
13/11/1953  POS Purchase             335.35      
01/11/1953  POS Purchase             470.10      
25/11/1953  Direct Deposit                       600.34
14/11/1953  ACH Payment              285.57      
08/11/1953  Debit Card Purchase      274.44      
10/11/1953  Check Deposit                        517.94
25/11/1953  Loan Repayment           534.17      
11/11/1953  Online Transfer          364.52      
11/11/1953  Direct Deposit                       233.68
26/11/1953  Check Deposit                        214.48",bank_statement
"Walsh and Sons INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 7704
Billed To: Riley Gross (Horn, Anderson and Wilkerson)
DESCRIPTION QTY UNIT PRICE TOTAL
Logo Design               19    $644092.00   $12237748.00
Social Media Banners      71    $991863.00   $70422273.00
Website Mockup            90    $166428.00   $14978520.00
Brand Guidelines PDF      47    $408464.00   $19197808.00
Subtotal: $116836349.00
Tax (5%): $5841817.45
TOTAL: $122678166.45
Payment Info:
Bank Account: GFZF40872553687367
Email: michael02@robinson.biz
Phone: +1-501-946-8258x3581
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. ACOSTA
2. STEPHEN
3. 06.06.2021 ENGLAND
4. 47-3592 Commercial Vehicle DVLA
5. ACOSTA ENG 33
6. Stephen
7. 3647 Anderson Rest, South Kellyborough, UT 73975
8. COMMERCIAL VEHICLE",drivers_licence
"WASHINGTON DRIVER LICENSE
Name: Adam Norman
DOB: 02/23/1977
License #: fT887605
Class: Car
Issued by: Department of Licensing (DOL)
Address: 2888 Nicholas Stream Apt. 055, Hodgeshaven, NV 13428",drivers_licence
"Bank Odom PLC
Customer Support: 554.338.3294
https://mendoza-jones.info/
Account Holder: Lauren Liu
Account Number: XXXX-XXXX-XXXX-9387
Statement Period: 1923-3

Date       Description              Debit ($)   Credit ($)
10/03/1923  Direct Deposit                       65.64
02/03/1923  Loan Repayment           492.82      
16/03/1923  Loan Repayment           491.51      
02/03/1923  Direct Deposit                       633.31
06/03/1923  Online Transfer          71.71       
27/03/1923  ACH Payment              484.44      
22/03/1923  Online Transfer          28.61       
05/03/1923  POS Purchase             478.38      
06/03/1923  Direct Deposit                       689.62
25/03/1923  POS Purchase             56.73       
27/03/1923  POS Purchase             353.48      
04/03/1923  Loan Repayment           368.10      
23/03/1923  Online Transfer          59.38       
18/03/1923  Debit Card Purchase      609.95      
17/03/1923  Direct Deposit                       566.32
15/03/1923  POS Purchase             234.41      
08/03/1923  Debit Card Purchase      223.45      
08/03/1923  Online Transfer          265.68      
02/03/1923  Direct Deposit                       320.38
10/03/1923  Loan Repayment           71.33       ",bank_statement
"Wallace Inc INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 1538
Billed To: John Carter (Schwartz LLC)
DESCRIPTION QTY UNIT PRICE TOTAL
Social Media Banners      46    $498289.00   $22921294.00
Brand Guidelines PDF      53    $929615.00   $49269595.00
Logo Design               47    $515560.00   $24231320.00
Subtotal: $96422209.00
Tax (5%): $4821110.45
TOTAL: $101243319.45
Payment Info:
Bank Account: QHSS52983500429217
Email: wbuckley@vance-clark.net
Phone: 457.952.3629
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. STANTON
2. KELLY
3. 09.03.1922 ENGLAND
4. 65-2134 Car DVLA
5. STANTON ENG 37
6. Kelly
7. PSC 9205, Box 1719, APO AP 12028
8. CAR",drivers_licence
"NEW YORK DRIVER LICENSE
Name: Samantha Wilson
DOB: 10/20/1947
License #: ry852692
Class: 3 Wheeler Only
Issued by: Department of Motor Vehicles (DMV)
Address: 2743 Moore Flat Apt. 380, Wardshire, NC 98348",drivers_licence
